"code";"x";"y";"num_regime";"hydro_regime"
"A105003001";"1018590.621";"6733544.652";"1";"P"
"A107020001";"1020986.996";"6733323.988";"2";"PC"
"A108003001";"1020016.414";"6736630.069";"1";"P"
"A112010001";"1012333.082";"6726404.108";"1";"P"
"A112020001";"1008399.518";"6733733.014";"3";"PC"
"A115084001";"1018634.862";"6738640.645";"3";"PC"
"A116003002";"1022678.59";"6744001.718";"2";"PC"
"A125020001";"1017007.319";"6746848.993";"3";"PC"
"A125020101";"1021616.757";"6748308.233";"3";"PC"
"A133003001";"1024922.783";"6760770.502";"3";"PC"
"A143020002";"1004402.962";"6756851.441";"3";"PC"
"A146020101";"1023217.142";"6759985.872";"3";"PC"
"A146020302";"1020401.068";"6757911.784";"3";"PC"
"A147003001";"1028119.399";"6772134.897";"3";"PC"
"A161003001";"1026250.288";"6787041.06";"3";"PC"
"A204010001";"1018035.58";"6784714.027";"3";"PC"
"A204010101";"1015115.195";"6782141.132";"3";"PC"
"A204010201";"1013400.857";"6780357.227";"3";"PC"
"A212020002";"1013205.157";"6792350.877";"1";"P"
"A213020001";"1020478.915";"6789889.324";"3";"PC"
"A214010001";"1024705.311";"6793250.341";"3";"PC"
"A216010001";"1027032.264";"6796527.928";"3";"PC"
"A231020001";"1022160.956";"6810961.102";"3";"PC"
"A234021001";"1018314.257";"6805297.927";"3";"PC"
"A234021101";"1022221.822";"6806463.2";"3";"PC"
"A235020002";"1030514.887";"6806291.194";"3";"PC"
"A236003001";"1036678.228";"6814032.504";"3";"PC"
"A237003001";"1044032.953";"6820864.036";"3";"PC"
"A273011002";"1015641.961";"6831304.346";"3";"PC"
"A276011001";"1028266.883";"6835092.184";"3";"PC"
"A284020001";"1031004.942";"6839665.476";"1";"P"
"A286011002";"1043399.678";"6839957.382";"3";"PC"
"A286011003";"1041990.227";"6838770.407";"3";"PC"
"A293020001";"1048267.661";"6848109.857";"1";"P"
"A312000101";"1033347";"6870102";"1";"P"
"A315010001";"1047048.797";"6868807.744";"1";"P"
"A315020001";"1047649.258";"6868902.453";"1";"P"
"A330010001";"1047945.571";"6868500.115";"1";"P"
"A331010001";"1055614.181";"6865435.119";"1";"P"
"A341020001";"1018557.907";"6856363.324";"1";"P"
"A348020001";"1040475.815";"6859970.404";"1";"P"
"A349020001";"1051537.688";"6856376.225";"1";"P"
"A350010001";"1063785.021";"6862665.522";"1";"P"
"A361011001";"1048177.821";"6883688.959";"4";"PTC"
"A368021001";"1067362.835";"6871828.707";"1";"P"
"A369011001";"1071580.91";"6874190.442";"4";"PTC"
"A373020001";"1069823.129";"6878902.959";"4";"PTC"
"A402061001";"983632.7769";"6758630.269";"3";"PC"
"A405062001";"975276.3733";"6762999.602";"3";"PC"
"A414020202";"976859.0713";"6772679.276";"3";"PC"
"A420063001";"968828.2401";"6780043.776";"3";"PC"
"A420063002";"968084.7153";"6774953.652";"3";"PC"
"A433301001";"978641.1482";"6793849.612";"3";"PC"
"A436203001";"967993.6932";"6787545.955";"3";"PC"
"A443064001";"956628.0461";"6790642.146";"3";"PC"
"A444201001";"952662.1909";"6805866.361";"4";"PTC"
"A455000201";"951390.3081";"6806752.698";"3";"PC"
"A463201001";"949651.4391";"6804393.328";"3";"PC"
"A511061002";"941084.387";"6830750.297";"3";"PC"
"A523011001";"934081.6879";"6795133.781";"1";"P"
"A524201001";"935524.68";"6800217.982";"4";"PTC"
"A526102001";"932569.0643";"6805140.24";"4";"PTC"
"A542201001";"931785.9012";"6830230.833";"4";"PTC"
"A543101001";"931099.3117";"6831735.799";"4";"PTC"
"A550061001";"928459.7538";"6838554.257";"3";"PC"
"A562201001";"914382.531";"6840174.503";"4";"PTC"
"A573061001";"913324.5622";"6844980.612";"3";"PC"
"A584201001";"919893.1551";"6853418.833";"4";"PTC"
"A600101001";"997335.9899";"6794687.054";"3";"PC"
"A605102001";"993333.3889";"6805614.554";"3";"PC"
"A614201001";"987528.559";"6816158.006";"3";"PC"
"A615103001";"984448.9632";"6818283.317";"3";"PC"
"A623201001";"986861.9475";"6819961.329";"1";"P"
"A631101001";"973327.8913";"6826574.298";"3";"PC"
"A634101002";"956715.5331";"6837069.436";"3";"PC"
"A643112003";"985927.1505";"6838957.344";"3";"PC"
"A654111001";"967324.667";"6837319.746";"3";"PC"
"A657111001";"957040.5461";"6838407.669";"3";"PC"
"A662121202";"973248.9135";"6805888.351";"1";"P"
"A670121001";"967421.4515";"6813833.596";"3";"PC"
"A673122001";"960336.2854";"6826586.665";"3";"PC"
"A676101001";"949612.1053";"6834574.26";"3";"PC"
"A687201001";"946575.5106";"6841696.007";"4";"PTC"
"A692101001";"941090.56";"6843042.512";"3";"PC"
"A695301001";"935092.1528";"6854387.235";"4";"PTC"
"A701061001";"929434.8213";"6858933.231";"3";"PC"
"A712201001";"923209.6953";"6867181.869";"4";"PTC"
"A735201001";"916651.8381";"6883228.761";"4";"PTC"
"A743061001";"931652.1646";"6895892.071";"3";"PC"
"A758102001";"962118.444";"6859350.789";"1";"P"
"A764201001";"957555.2609";"6863288.15";"3";"PC"
"A770101001";"953923.204";"6859321.644";"1";"P"
"A782101001";"936627.3132";"6870164.39";"4";"PTC"
"A788101001";"932732.4935";"6893684.04";"4";"PTC"
"A793061002";"931881.2948";"6910881.781";"3";"PC"
"A807101001";"906398.8082";"6899607.434";"4";"PTC"
"A812020101";"907881.4025";"6897695.784";"4";"PTC"
"A812200001";"908342.5022";"6893194.434";"4";"PTC"
"A818201001";"908792.0876";"6898987.2";"4";"PTC"
"A820101001";"910102.4108";"6900275.493";"4";"PTC"
"A832201001";"913577.5876";"6909240.12";"4";"PTC"
"A840101001";"921276.9294";"6909673.563";"4";"PTC"
"A843101001";"923584.055";"6910653.126";"4";"PTC"
"A850061001";"930739.7759";"6917587.51";"3";"PC"
"A873201001";"937511.3435";"6926324.2";"1";"P"
"A901305050";"999274.9796";"6845437.55";"1";"P"
"A902101050";"995414.9459";"6849768.654";"1";"P"
"A902102050";"997669.7345";"6856244.781";"3";"PC"
"A906215050";"998678.2923";"6868828.351";"4";"PTC"
"A907105050";"997305.2338";"6871838.76";"3";"PC"
"A909106050";"995593.9548";"6881947.239";"1";"P"
"A919205040";"993507.4869";"6883364.494";"4";"PTC"
"A920107050";"995028.1393";"6885850.146";"3";"PC"
"A926000101";"1002122.541";"6885688.684";"1";"P"
"A930108040";"1003173.896";"6891675.715";"4";"PTC"
"A931108060";"997229.7594";"6897723.766";"1";"P"
"A931109050";"995139.9024";"6898741.305";"1";"P"
"A932215050";"1026242.937";"6901169.698";"5";"PMC"
"A953205050";"980908.976";"6905760.929";"4";"PTC"
"A973121001";"947359.8622";"6886262.158";"4";"PTC"
"A975201001";"949573.208";"6899535.284";"4";"PTC"
"A983201001";"964072.9577";"6888916.15";"4";"PTC"
"A986201001";"951368.5805";"6899120.015";"4";"PTC"
"A994202002";"957420.1346";"6917057.45";"4";"PTC"
"B022001001";"894020.693";"6796577.641";"4";"PTC"
"B105201001";"897804.1747";"6794946.207";"4";"PTC"
"B109201001";"900891.2542";"6805312.858";"4";"PTC"
"B110000001";"898731.4781";"6809828.483";"4";"PTC"
"B115001001";"897909.3762";"6818829.734";"4";"PTC"
"B122201001";"915325.6983";"6798792.96";"4";"PTC"
"B128201001";"902172.8107";"6814895.617";"4";"PTC"
"B130001001";"899222.1806";"6820417.431";"4";"PTC"
"B134001002";"897464.2982";"6836822.443";"4";"PTC"
"B204201001";"904112.3634";"6831268.474";"4";"PTC"
"B205201001";"900173.5688";"6838098.04";"4";"PTC"
"B210000101";"897263";"6848789";"4";"PTC"
"B213001001";"891325.7121";"6855163.49";"4";"PTC"
"B222001001";"885625.7312";"6866405.598";"4";"PTC"
"B301001002";"874107.8396";"6898485.471";"4";"PTC"
"B315002001";"857829.1601";"6934904.472";"4";"PTC"
"B400101001";"902958.6495";"6941213.677";"1";"P"
"B402101001";"900434.4263";"6938237.01";"4";"PTC"
"B403101001";"892601.4983";"6933906.717";"4";"PTC"
"B422431001";"878153.3902";"6939027.977";"1";"P"
"B457201001";"868912.8382";"6933710.15";"4";"PTC"
"B460101001";"867446.3098";"6937520.634";"4";"PTC"
"B463101001";"856058.642";"6949911.493";"4";"PTC"
"B502001001";"840134.1524";"6957743.583";"4";"PTC"
"B517201001";"835994.7888";"6952881.556";"4";"PTC"
"B532201001";"823662.8518";"6960083.076";"4";"PTC"
"B540001001";"823792.639";"6963580.127";"4";"PTC"
"B557201001";"818014.8547";"6965828.262";"4";"PTC"
"B611101001";"828588.7996";"6975133.159";"4";"PTC"
"B700001002";"824309.2383";"6977268.606";"4";"PTC"
"B720000001";"827606.2032";"7000528.721";"4";"PTC"
"B732201001";"830800.1201";"7000001.699";"4";"PTC"
"D013702001";"754171.5545";"7003952.019";"4";"PTC"
"D015651001";"777150.9531";"7002857.46";"4";"PTC"
"D015652001";"758486.083";"7005914.457";"4";"PTC"
"D015656001";"768658.292";"7003229.744";"4";"PTC"
"D019222000";"769403.038";"7020314.815";"4";"PTC"
"D019223001";"776716.0032";"7022251.757";"4";"PTC"
"D020601001";"771187.6219";"7018600.478";"1";"P"
"E156601001";"699734.5859";"7020104.627";"5";"PMC"
"E172601002";"727657.2766";"7024366.722";"1";"P"
"E172751001";"732243.7739";"7023028.553";"1";"P"
"E182601001";"746132";"7039383";"1";"P"
"E182702001";"745364.4757";"7038010.407";"1";"P"
"E183041001";"742006";"7038922";"1";"P"
"E207111002";"702285.474";"7026280.165";"5";"PMC"
"E240001000";"731165";"7044787";"1";"P"
"E240041101";"731034.7327";"7045528.282";"1";"P"
"E334601001";"712910.1716";"7053477.896";"1";"P"
"E338351001";"704837";"7064464";"1";"P"
"E351122001";"644381.1594";"7058252.636";"3";"PC"
"E366060002";"667607";"7043343";"5";"PMC"
"E366601001";"674392.4313";"7049304.513";"1";"P"
"E403572001";"636072.8958";"7056822.953";"3";"PC"
"E403573001";"638266.4601";"7068099.55";"3";"PC"
"E430601001";"631457.8711";"7078652.022";"3";"PC"
"E490571001";"667631.3498";"7089243.879";"1";"P"
"E490701001";"662821.9565";"7087884.884";"1";"P"
"E530021001";"612756.8992";"7065614.262";"3";"PC"
"E540031001";"616837.3648";"7039591.917";"4";"PTC"
"E550572001";"622800.2872";"7023549.553";"4";"PTC"
"E633095001";"684735";"6982128";"1";"P"
"E639701001";"661083.6609";"6988045.847";"1";"P"
"E640601001";"662875.9434";"6963443.463";"5";"PMC"
"E640754001";"655803.5679";"6966301.396";"5";"PMC"
"E642601001";"643431.1396";"6968803.962";"4";"PTC"
"E645100000";"633193.8577";"6987580.166";"5";"PMC"
"E645651001";"631818.9416";"6990490.219";"5";"PMC"
"E648093001";"606176.5349";"7007796.242";"5";"PMC"
"F230200000";"724100.9992";"6828305.566";"1";"P"
"F232000101";"717342.4185";"6820867.44";"1";"P"
"F240000106";"714085.6293";"6813899.436";"1";"P"
"F312000201";"768375.8969";"6699118.8";"4";"PTC"
"F351000104";"729856.6008";"6764399.304";"1";"P"
"F352000101";"727107.111";"6758326.735";"1";"P"
"F352000201";"726521.0852";"6759930.275";"1";"P"
"F355040000";"752491.1653";"6793887.431";"1";"P"
"F357000101";"732848.0378";"6787258.24";"1";"P"
"F358000402";"715552.8413";"6798297.201";"1";"P"
"F410000101";"701490.4495";"6730562.304";"1";"P"
